prototype,name,n_descriptors,descriptors
0,"Horror, horror, original",3,genres=Horror(score=0.950); tags=horror(score=0.700); tags=original(score=0.600)
1,"Drama, Romance, adapted from:book",3,genres=Drama(score=0.900); genres=Romance(score=0.400); tags=adapted from:book(score=0.300)
2,"Comedy, Drama, Romance",3,genres=Comedy(score=0.550); genres=Drama(score=0.400); genres=Romance(score=0.300)
3,"classic, Musical, musical",3,tags=classic(score=0.600); genres=Musical(score=0.550); tags=musical(score=0.450)
4,"Comedy, comedy, fun movie",3,genres=Comedy(score=0.950); tags=comedy(score=0.600); tags=fun movie(score=0.400)
5,"original, Horror, horror",3,tags=original(score=0.700); genres=Horror(score=0.550); tags=horror(score=0.550)
6,"original, Animation, Children's",3,tags=original(score=0.950); genres=Animation(score=0.600); genres=Children's(score=0.600)
7,"Thriller, Action, action",3,genres=Thriller(score=0.650); genres=Action(score=0.550); tags=action(score=0.300)
8,"Drama, Romance, criterion",3,genres=Drama(score=0.900); genres=Romance(score=0.200); tags=criterion(score=0.150)
9,"Horror, horror, Sci-Fi",3,genres=Horror(score=0.750); tags=horror(score=0.550); genres=Sci-Fi(score=0.350)
