prototype,name,n_descriptors,descriptors
0,"imdb top 250, classic, oscar (best directing)",3,tags=imdb top 250(score=1.000); tags=classic(score=0.850); tags=oscar (best directing)(score=0.750)
1,"imdb top 250, original, great ending",3,tags=imdb top 250(score=0.900); tags=original(score=0.800); tags=great ending(score=0.750)
2,"imdb top 250, original, great ending",3,tags=imdb top 250(score=0.900); tags=original(score=0.800); tags=great ending(score=0.750)
3,"original, Comedy, good soundtrack",3,tags=original(score=0.850); genres=Comedy(score=0.700); tags=good soundtrack(score=0.550)
4,"Children's, classic, Comedy",3,genres=Children's(score=0.700); tags=classic(score=0.700); genres=Comedy(score=0.600)
5,"Sci-Fi, original, sci-fi",3,genres=Sci-Fi(score=0.950); tags=original(score=0.850); tags=sci-fi(score=0.700)
6,"Drama, good, Action",3,genres=Drama(score=0.400); tags=good(score=0.350); genres=Action(score=0.300)
7,"Drama, good, Action",3,genres=Drama(score=0.400); tags=good(score=0.350); genres=Action(score=0.300)
8,"original, Comedy, Drama",3,tags=original(score=0.950); genres=Comedy(score=0.750); genres=Drama(score=0.550)
9,"imdb top 250, original, great ending",3,tags=imdb top 250(score=0.900); tags=original(score=0.800); tags=great ending(score=0.750)
