prototype,name,n_descriptors,descriptors
20,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.700); product_group_name=Garment Upper body(score=0.650)
21,"Ladieswear, Solid, Black",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.950); colour_group_name=Black(score=0.700)
22,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.700); product_group_name=Garment Upper body(score=0.650)
23,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.700); product_group_name=Garment Upper body(score=0.650)
24,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=0.900); index_group_name=Sport(score=0.900); section_name=Ladies H&M Sport(score=0.900)
25,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=0.950); index_group_name=Sport(score=0.950); section_name=Ladies H&M Sport(score=0.950)
26,"Ladieswear, Solid, Black",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.950); colour_group_name=Black(score=0.700)
27,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=0.950); index_group_name=Sport(score=0.950); section_name=Ladies H&M Sport(score=0.950)
28,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.700); product_group_name=Garment Upper body(score=0.650)
29,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.700); product_group_name=Garment Upper body(score=0.650)
30,"Ladieswear, Solid, Black",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.950); colour_group_name=Black(score=0.700)
31,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=0.950); index_group_name=Sport(score=0.950); section_name=Ladies H&M Sport(score=0.950)
32,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.700); product_group_name=Garment Upper body(score=0.650)
33,"Ladieswear, Solid, Garment Upper body",3,index_group_name=Ladieswear(score=0.900); graphical_appearance_name=Solid(score=0.700); product_group_name=Garment Upper body(score=0.650)
