item_id,item,item weight,prototype
8538,A3UXYCUGIAM9HO,1.8886124,19
8048,A2YHQTU7V8EPCY,1.8857582,19
11382,AJ1AOBCX1UU2Y,1.9997663,20
13100,A3574Z2PG6S59K,1.9996202,20
14211,A3D4RH8Z15I2PN,1.9994681,20
11266,AOTZOHB2LZGYR,1.9993458,20
12006,A36X82VV95S49L,1.9975004,20
14253,A2FY8F1K56TSVK,1.9972126,20
11869,A24DDONNQLE0K,1.9950676,20
13464,A25FRDSGBWHLTJ,1.993378,20
6431,A23Z9OL12GTGM0,1.992238,20
12989,A18TX82UU4UAHN,1.9896232,20
5646,A2RK960ZSBZQ,1.9999135,21
8475,A24CVTS4QZM2EL,1.9996135,21
7575,A1RO76WBFX9XRJ,1.9994233,21
2818,A1GVYGO2WK69PW,1.9994227,21
4143,AVSYVX06HV7PV,1.9992718,21
4483,A3RJ3YAHOIX5BJ,1.9983683,21
6260,A3KFPY78H49K8Z,1.9975324,21
7535,A18ODGB7DGDEBP,1.99611,21
5576,A36Y85AFXXLH9L,1.9951758,21
6529,AGZ5ED973Q2F9,1.9950235,21
5072,A119Q9NFGVOEJZ,1.9997447,22
9632,AE9EWMRGLQ41S,1.9975262,22
11510,ADIOL01IILTJ7,1.9964669,22
4865,ASLYR9GYSE5RL,1.9956486,22
6971,A2U93J8VKKE1JV,1.9944515,22
8987,ADUDTHE4Q6832,1.9940951,22
9423,A2KVW8BZEQRI56,1.9920824,22
11244,AWL59T38YHVWX,1.980541,22
2162,AMZCQIDUWDHLC,1.9770064,22
4646,A7OE4WU1V8IK1,1.9765929,22
11181,A1A8RYOYMGHWUP,1.9998562,23
11732,A2IJMRTBTNZAK2,1.9998033,23
12321,A1LCY2B00FMF7W,1.999542,23
11484,A2R697KA2W2MVR,1.9993911,23
11638,AWEOZ9OOJ7ANS,1.9976175,23
8553,A2G0UGP1RRG4ST,1.9973805,23
10764,ARAKQA8A09N03,1.9971493,23
12107,A283BOGS9IO7M7,1.9948109,23
11553,A22NR44S6W9VGI,1.9945097,23
12937,AHQIFXFV3A8LZ,1.9928232,23
5121,A17NVM7IAPF2NS,1.9997413,24
11134,A11E7BVNJOE5M5,1.9967775,24
11284,A21UM71P1XP1TJ,1.996352,24
8645,A1MN7C5D8Z1J8F,1.993583,24
12144,AEWUCDCC12O67,1.992563,24
6353,A1GTGKAY1IYVYH,1.9898635,24
10896,A1STOI897FX4F1,1.9873812,24
4986,AYC6E9QCQU2KR,1.9773176,24
10214,ATCVDNUJHL6ID,1.9763708,24
11487,A26VTND0K0OYI,1.9754577,24
13962,A1NCKFDY60DB2Z,1.9998116,25
13690,A3EUF93JE7D0DK,1.9997566,25
13452,A1BIS6FID9J16M,1.9985266,25
10758,A4C6HH1K37XXV,1.9975457,25
13526,ALYSDURC3QYFC,1.9955326,25
13568,AVHF8MWAUTKYZ,1.995115,25
2042,A2MVE0QNZ8DNK4,1.9931209,25
13758,A2Y49KA0M7XKQD,1.991245,25
10310,A3LZA698SQPCXE,1.9900945,25
13560,A9FI9GBH33XNB,1.9877477,25
933,A2QQ2HQ4WQM1EP,1.9997896,26
352,A2VV6OJT6I29VQ,1.9997119,26
610,A3NT28K113P007,1.9992945,26
443,AM8K619L97JWR,1.9992714,26
450,A1OAMVTMZLBCJQ,1.9986227,26
227,A140VX27RA19KT,1.9978911,26
935,A2RHBT46LS6DA3,1.9958367,26
614,A37ZO07UCRXGT9,1.9939482,26
362,ADJXL0W0RJ7VV,1.9908409,26
841,A9M2EYCHDY3BG,1.9865193,26
5963,A3MKIJEAG5ZGPY,1.9990008,27
9074,A3F18SDKBDF2WR,1.9980917,27
5601,A1QJEI2S15711P,1.9950535,27
5365,A32FDGA30QCLRX,1.9936612,27
2438,ALC6LWQXBHIPG,1.9606662,27
6378,A1XCZGJLAEM0YB,1.9380575,27
11328,A1SJUYU7X2ZK3C,1.9333755,27
6443,A279N0EHJAPZRR,1.9201773,27
9091,A27LVUBEXSADGC,1.911413,27
4860,A1ZR8F86DJRVLX,1.8915923,27
1247,AQMUXDDCLJSSV,1.9996839,28
4371,A1L19BZNAOO6MA,1.9990551,28
3287,A230VUDYOCRZ4N,1.9980456,28
3466,A1SDRF9ANW6WZ4,1.9973888,28
5650,A35ZK3M8L9JUPX,1.9959311,28
3816,A3IP5076B3LC8G,1.9930174,28
5212,A3PM9DMVYG9HDK,1.9914441,28
4166,AGTV1DMRMBRSQ,1.9898231,28
4245,A28RJ768VDJ891,1.9875673,28
8905,A1B7UGU2NAKI7Y,1.9796716,28
52,AT2BYFEVLVITT,1.9998788,29
407,ALUPHVYE5J5VQ,1.9996836,29
212,A8L37C5ABVJDY,1.9996493,29
750,A2I9IO15NUIIHJ,1.9989202,29
1387,A3NZVCL9N8CLHB,1.9987526,29
1339,AZ1PS5SHWHE0U,1.9967287,29
49,A25WC2ARY33AWW,1.9955885,29
502,A1Q4ZU2Y929N0A,1.9914594,29
162,A2IE7YPWUYZAXS,1.9910512,29
1572,A2IF5C0I5BH11F,1.9821655,29
9530,A2G1NDESGR9FO3,1.9996681,30
8413,A11PKTC7A95ST,1.998744,30
8164,A2PDB6WQ5G1RBJ,1.9982715,30
6143,A2RVCF21L2NPU5,1.9976486,30
11756,ABX6LJM70TD2E,1.9957318,30
6797,A2VDYFLNYGF3C8,1.9938498,30
10869,AC812E0WV0GQD,1.9934583,30
10315,A1TOMDKTGL5BG9,1.9906805,30
11128,A3GWT4A3Z7BMV3,1.9897306,30
13026,A1TSVEC57KEYSP,1.9896798,30
1196,ABSHD5PC5YEH6,1.9998333,31
2373,AIEFOIVARLQAU,1.9996278,31
970,A1D2JLLWMSTDXC,1.9993564,31
3548,A3IQJ9WEK33CSE,1.9992735,31
2573,A2VQAYPQNFY70K,1.9988997,31
909,AO1TKLGRNSFDL,1.9984291,31
2729,A1FL9JCI32TC0Y,1.9977825,31
2998,A2RXLJLEKYFSJO,1.997647,31
2247,A10AGL61R4K7H8,1.9945412,31
825,A3RB0IJG7UOQCC,1.9934018,31
6471,A2UP5V68VIJOIR,1.9994034,32
11028,AUE7MEZDHWTFQ,1.998985,32
11996,A29GIA6600DLAT,1.9981503,32
10532,A1893NE69ZSELK,1.9978962,32
7439,A47E3AYWOAS8S,1.9974368,32
11400,A398KYEJFRQS6K,1.9963799,32
10029,A1Z5RK3H257VH2,1.996218,32
13594,AUDN3BW362K1S,1.9938283,32
11147,A3LU8WN46EIYYG,1.9925101,32
11445,A26ZDKC53OP6JD,1.9899268,32
4525,A10ZBR6O8S8OCY,1.9992437,33
4188,A104WER6UUDA2M,1.9991074,33
7646,AZVUD1MEK6KPB,1.9989355,33
10872,ALJ4NMTVSVPOQ,1.993741,33
