prototype,name,n_descriptors,descriptors
58,"Ladieswear, Solid, Womens Tailoring",3,index_group_name=Ladieswear(score=1.000); graphical_appearance_name=Solid(score=0.850); section_name=Womens Tailoring(score=0.850)
59,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
60,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
61,"Solid, Black, Black",3,graphical_appearance_name=Solid(score=0.850); colour_group_name=Black(score=0.750); perceived_colour_master_name=Black(score=0.750)
62,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
63,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
64,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
65,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
66,"Solid, Black, Black",3,graphical_appearance_name=Solid(score=0.850); colour_group_name=Black(score=0.750); perceived_colour_master_name=Black(score=0.750)
67,"Garment Upper body, Jersey Basic, Solid",3,product_group_name=Garment Upper body(score=0.600); garment_group_name=Jersey Basic(score=0.500); graphical_appearance_name=Solid(score=0.450)
68,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
69,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
70,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
71,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
72,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
73,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
74,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
75,"Jersey Fancy, Sport, Ladies H&M Sport",3,garment_group_name=Jersey Fancy(score=1.000); index_group_name=Sport(score=1.000); section_name=Ladies H&M Sport(score=1.000)
