item_id,item,item weight,prototype
1192,1658,1.9569347,24
1501,3882,1.9558607,24
765,2836,1.9535575,24
1220,1821,1.9514472,24
508,2529,1.9981022,25
651,3703,1.9914839,25
142,3702,1.9878218,25
690,2985,1.9502153,25
666,2288,1.9443071,25
143,2366,1.9202962,25
389,2662,1.9195297,25
484,2872,1.9194132,25
679,2527,1.9184659,25
417,1374,1.8975073,25
452,3723,1.9998077,26
57,2236,1.9969004,26
289,105,1.9922423,26
284,3528,1.9843112,26
620,1672,1.9765904,26
606,1619,1.9764237,26
1513,848,1.9739945,26
1176,381,1.9717455,26
1779,477,1.9686631,26
1371,1693,1.967534,26
1671,1260,1.9994006,27
949,1237,1.9956734,27
1274,3629,1.9906414,27
940,922,1.9792123,27
1676,3742,1.9787426,27
1346,3307,1.9743255,27
979,3462,1.9735446,27
1072,1251,1.9732676,27
941,2186,1.9728799,27
1719,2203,1.9703996,27
1840,1807,1.9999368,28
2971,283,1.9996806,28
2679,1000,1.9994191,28
3038,1671,1.9990635,28
3063,297,1.99896,28
3107,2809,1.9989109,28
2866,640,1.9988673,28
2785,3848,1.9984831,28
2607,1798,1.9984506,28
2676,1421,1.9984221,28
974,2208,1.9992146,29
943,947,1.99741,29
1493,1066,1.9900329,29
991,3341,1.987702,29
1099,945,1.9822118,29
987,2935,1.9811687,29
1724,936,1.9796401,29
1734,2936,1.9792069,29
1024,931,1.9783365,29
410,1948,1.9782363,29
2514,2978,1.9997647,30
2065,2574,1.9995193,30
1966,340,1.995734,30
2511,3225,1.9944489,30
1713,1461,1.9941332,30
2385,835,1.9941281,30
2761,875,1.9935176,30
1502,3646,1.9933134,30
1823,2806,1.9932287,30
1987,408,1.9923408,30
1534,1938,1.9994826,31
1507,3011,1.9988482,31
1771,1942,1.9961214,31
1508,2212,1.9881549,31
1090,1946,1.9873548,31
1017,3546,1.9861565,31
1503,3789,1.9846623,31
2116,3475,1.9825937,31
2383,1150,1.981255,31
1028,949,1.9803734,31
1162,556,1.9998498,32
1888,3182,1.9986321,32
184,1649,1.9963529,32
2090,3925,1.9902043,32
1545,1050,1.9853144,32
2047,1236,1.9845564,32
2078,2330,1.98211,32
1108,123,1.9809742,32
1392,190,1.9794962,32
1933,1111,1.9792287,32
1030,3735,1.9996517,33
131,3168,1.9962578,33
1132,3551,1.9954145,33
842,2917,1.9802355,33
579,1263,1.9799688,33
1360,3198,1.9713559,33
134,2871,1.9686909,33
1538,2819,1.9580107,33
999,3362,1.9534262,33
1038,2467,1.9468446,33
414,1371,1.9969206,34
741,1587,1.9960043,34
782,2641,1.9922625,34
764,3638,1.9798636,34
1206,2533,1.957422,34
418,1375,1.9571204,34
650,3701,1.9549863,34
845,3740,1.9533077,34
849,3770,1.9520252,34
731,2414,1.950551,34
2370,2380,1.9993773,35
2434,2458,1.9982748,35
2282,2587,1.9974327,35
918,1640,1.9973342,35
2544,424,1.997113,35
2313,1550,1.9969883,35
2033,1605,1.9967911,35
2625,2027,1.99674,35
2584,725,1.9965279,35
2658,174,1.9964335,35
87,593,1.9963582,36
73,2858,1.9808947,36
109,318,1.9693844,36
30,2762,1.9653909,36
40,2028,1.9477416,36
17,527,1.943671,36
163,296,1.9247313,36
43,608,1.9229529,36
167,50,1.918941,36
316,1617,1.9080211,36
1015,1792,1.999206,37
1286,494,1.998317,37
821,95,1.9952556,37
1695,786,1.9932631,37
121,1049,1.992805,37
512,1586,1.9903592,37
1743,1385,1.9843605,37
1753,376,1.9819381,37
1758,1616,1.9811032,37
1692,145,1.9786975,37
2009,2730,1.9995883,38
936,2066,1.9993296,38
1556,3929,1.9977369,38
2124,3038,1.9897329,38
2517,2182,1.989658,38
2725,2511,1.9887979,38
1721,2204,1.988299,38
2154,2970,1.9875317,38
1673,978,1.9857755,38
2788,2075,1.9848063,38
3000,2923,1.9999247,39
2399,3749,1.9997554,39
2801,3140,1.9995706,39
3124,2776,1.9991928,39
2401,2897,1.9991623,39
1932,3473,1.9989555,39
3036,3645,1.9988898,39
2393,3047,1.9987651,39
2997,751,1.9986453,39
2529,2933,1.9982032,39
597,832,1.9980502,40
591,3005,1.9918785,40
1848,2688,1.9798536,40
600,1892,1.9689186,40
594,161,1.9552572,40
1112,647,1.9527408,40
563,3178,1.9525918,40
1681,3513,1.9523883,40
1334,1459,1.9495661,40
242,266,1.943697,40
1434,617,1.9999439,41
2886,877,1.9998341,41
2101,1613,1.9994972,41
2902,3913,1.9993601,41
2702,1902,1.9992077,41
3020,633,1.9991747,41
2859,2589,1.9991399,41
2212,1811,1.9991004,41
2221,2678,1.9988303,41
2485,1002,1.9987673,41
2537,2267,1.999761,42
1870,1404,1.9993247,42
2226,365,1.9991553,42
2954,2237,1.9979382,42
1832,1352,1.9953663,42
2538,3318,1.9943445,42
2535,1600,1.9936132,42
2391,1508,1.9933414,42
2905,2842,1.9931352,42
2278,2579,1.9929011,42
895,252,1.9994813,43
352,2496,1.997755,43
1215,2297,1.9954736,43
1614,837,1.9795419,43
390,3466,1.9753131,43
18,48,1.9745836,43
1172,2059,1.9739363,43
623,2581,1.9699259,43
1989,1020,1.967468,43
1625,1588,1.9620564,43
2573,2016,1.9998698,44
2598,881,1.9996512,44
1998,2041,1.9994388,44
2392,761,1.9986753,44
2889,2092,1.997111,44
2572,1005,1.9962171,44
1616,1474,1.9959996,44
1648,558,1.9958258,44
1608,8,1.9954374,44
756,1772,1.9951357,44
2162,3281,1.9996707,45
654,30,1.9995509,45
2480,3677,1.9993677,45
955,846,1.998245,45
2626,1865,1.9972984,45
1900,97,1.9972246,45
2002,3055,1.9953889,45
2153,99,1.9952811,45
2338,149,1.9951878,45
2297,80,1.9949663,45
2781,3434,1.9996561,46
2847,2756,1.999641,46
3119,3432,1.9980108,46
1698,3141,1.9974656,46
1527,2472,1.9969165,46
3092,1825,1.9961953,46
1980,3433,1.9961902,46
1815,3491,1.9961216,46
1906,3064,1.99597,46
1996,3768,1.9958782,46
2056,2558,1.9997721,47
431,2252,1.9981039,47
2317,276,1.99809,47
1225,691,1.9949647,47
914,378,1.9917791,47
1063,2432,1.9898365,47
1320,2154,1.9898361,47
407,765,1.989479,47
1228,289,1.9893944,47
413,2316,1.9886254,47
180,2580,1.9980241,48
685,2542,1.9928107,48
763,785,1.9779361,48
1587,1093,1.9664801,48
1050,2710,1.9523236,48
202,1732,1.9466677,48
283,1639,1.9271579,48
1058,441,1.9249682,48
772,2502,1.9222047,48
325,1060,1.917254,48
1116,3504,1.9980901,49
567,1244,1.9900415,49
897,3543,1.9821837,49
1166,2973,1.97066,49
1039,1300,1.9375849,49
1282,1952,1.9140403,49
853,3424,1.9140035,49
1223,1186,1.9090081,49
547,2076,1.903417,49
790,2064,1.9024049,49
402,904,1.9994586,50
569,923,1.9943619,50
188,908,1.9810715,50
1016,903,1.9732878,50
932,1252,1.9674051,50
827,1267,1.9511957,50
199,913,1.9455047,50
247,912,1.940798,50
111,1247,1.939913,50
39,1207,1.9289455,50
3111,966,1.9999799,51
3019,3845,1.9998751,51
2615,3640,1.9995444,51
2970,563,1.9991522,51
2962,189,1.998468,51
2871,958,1.9980719,51
2672,2201,1.9972434,51
2809,3106,1.996071,51
3068,2945,1.9949262,51
3069,197,1.9948595,51
800,771,1.9994359,52
2983,3580,1.9993329,52
1826,3934,1.9964345,52
2982,962,1.992188,52
2298,3902,1.9628907,52
2663,3912,1.9596581,52
2287,2768,1.9534875,52
2251,3867,1.9410816,52
1964,3853,1.9398794,52
3121,554,1.9376796,52
1581,321,1.9998093,53
2231,461,1.9992573,53
2191,803,1.9988282,53
2205,2437,1.9961545,53
2196,3118,1.9950438,53
1723,2314,1.9932814,53
2007,2621,1.9930537,53
2618,2618,1.9923863,53
152,1535,1.9911034,53
2774,155,1.9909406,53
706,2082,1.9997303,54
1610,673,1.9987519,54
1565,2421,1.9969482,54
1227,1894,1.9869022,54
1644,1021,1.983201,54
1641,1015,1.9813898,54
696,158,1.9803843,54
2291,516,1.9750593,54
1240,2468,1.9737427,54
1413,432,1.9713552,54
1947,3764,1.9997456,55
2747,1752,1.9978175,55
1982,227,1.9975166,55
2505,547,1.9972473,55
2830,23,1.9960082,55
1972,798,1.9957498,55
1789,694,1.9956813,55
1995,548,1.9945272,55
2818,544,1.9943669,55
1746,2412,1.9939964,55
964,3836,1.999494,56
694,2993,1.994636,56
1878,3366,1.9920794,56
2593,2922,1.983927,56
1800,2401,1.9791291,56
961,3062,1.9745213,56
1036,3682,1.964725,56
1529,3508,1.9613125,56
229,3074,1.9591099,56
1674,2921,1.9589815,56
2175,3235,1.9999156,57
2757,2862,1.9989263,57
2141,2659,1.9970968,57
2459,3732,1.9958904,57
574,1331,1.9956784,57
2444,3013,1.9947162,57
2610,2460,1.9934838,57
2462,3840,1.9928539,57
2609,1341,1.9926145,57
2460,3837,1.99019,57
92,1955,1.9983966,58
720,1956,1.9953263,58
411,2312,1.9892601,58
93,1124,1.9802155,58
874,3685,1.9718373,58
1238,3684,1.9681058,58
864,2243,1.9619582,58
531,3347,1.9616368,58
838,1958,1.9582357,58
1411,2919,1.9554527,58
2631,2865,1.9999486,59
3002,1458,1.9997504,59
2903,2691,1.9992976,59
3003,1846,1.9992666,59
2145,2824,1.9986734,59
2143,183,1.9986714,59
3010,2283,1.9985533,59
2643,1114,1.9983025,59
2532,1351,1.9979424,59
183,1715,1.9978913,59
3084,1326,1.9999812,60
2662,2884,1.999848,60
2762,2523,1.9996333,60
3102,386,1.9995615,60
3109,1439,1.9991574,60
3087,2755,1.9989768,60
3045,528,1.9989506,60
2948,2522,1.9985875,60
3026,1565,1.9984938,60
2261,2264,1.998452,60
1011,1344,1.9996321,61
1076,3871,1.9969134,61
1085,3467,1.9924134,61
1081,1283,1.9910226,61
1164,3196,1.9897318,61
1954,3801,1.9807703,61
1542,3634,1.9778397,61
1074,3365,1.9733685,61
1399,1950,1.9731705,61
572,1303,1.9727874,61
858,2144,1.9972014,62
976,3524,1.9878807,62
462,3591,1.9766301,62
1470,2463,1.9702652,62
398,3039,1.9688951,62
869,2915,1.9666688,62
794,3526,1.9651599,62
560,2795,1.9502531,62
521,2100,1.9443899,62
493,2371,1.9436898,62
1701,370,1.9981977,63
875,3254,1.9981871,63
788,3869,1.995586,63
799,2249,1.9953452,63
1055,2413,1.9826946,63
1649,700,1.972033,63
2012,3477,1.9705275,63
1321,1425,1.968391,63
2164,410,1.9645827,63
789,585,1.9640214,63
49,648,1.9982916,64
715,10,1.9875691,64
432,780,1.9869722,64
124,733,1.9744787,64
262,1722,1.9597456,64
879,1917,1.9582517,64
768,3082,1.9531585,64
96,380,1.9477947,64
85,736,1.938364,64
80,1370,1.9377499,64
825,3505,1.9987493,65
2112,2474,1.996587,65
959,3102,1.9903178,65
